sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$trajectory:VARSIZED
1722518000,1722521000,BINARY(158)
1722519000,1722522000,BINARY(391)
1722520000,1722523000,BINARY(586)
1722521000,1722524000,BINARY(681)
1722522000,1722525000,BINARY(680)
1722523000,1722526000,BINARY(675)
1722524000,1722527000,BINARY(690)
1722525000,1722528000,BINARY(677)
1722526000,1722529000,BINARY(725)
1722527000,1722530000,BINARY(654)
1722528000,1722531000,BINARY(678)
1722529000,1722532000,BINARY(670)
1722530000,1722533000,BINARY(713)
1722531000,1722534000,BINARY(709)
1722532000,1722535000,BINARY(691)
1722533000,1722536000,BINARY(650)
1722534000,1722537000,BINARY(647)
1722535000,1722538000,BINARY(616)
1722536000,1722539000,BINARY(617)
1722537000,1722540000,BINARY(620)
1722538000,1722541000,BINARY(692)
1722539000,1722542000,BINARY(720)
1722540000,1722543000,BINARY(680)
1722541000,1722544000,BINARY(647)
1722542000,1722545000,BINARY(649)
1722543000,1722546000,BINARY(686)
1722544000,1722547000,BINARY(694)
1722545000,1722548000,BINARY(696)
1722546000,1722549000,BINARY(724)
1722547000,1722550000,BINARY(718)
1722548000,1722551000,BINARY(748)
1722549000,1722552000,BINARY(721)
1722550000,1722553000,BINARY(736)
1722551000,1722554000,BINARY(727)
1722552000,1722555000,BINARY(724)
1722553000,1722556000,BINARY(707)
1722554000,1722557000,BINARY(636)
1722555000,1722558000,BINARY(624)
1722556000,1722559000,BINARY(643)
1722557000,1722560000,BINARY(693)
1722558000,1722561000,BINARY(676)
1722559000,1722562000,BINARY(650)
1722560000,1722563000,BINARY(628)
1722561000,1722564000,BINARY(616)
1722562000,1722565000,BINARY(613)
1722563000,1722566000,BINARY(605)
1722564000,1722567000,BINARY(631)
1722565000,1722568000,BINARY(632)
1722566000,1722569000,BINARY(645)
1722567000,1722570000,BINARY(633)
1722568000,1722571000,BINARY(611)
1722569000,1722572000,BINARY(607)
1722570000,1722573000,BINARY(581)
1722571000,1722574000,BINARY(576)
1722572000,1722575000,BINARY(531)
1722573000,1722576000,BINARY(533)
1722574000,1722577000,BINARY(587)
1722575000,1722578000,BINARY(671)
1722576000,1722579000,BINARY(653)
1722577000,1722580000,BINARY(621)
1722578000,1722581000,BINARY(578)
1722579000,1722582000,BINARY(635)
1722580000,1722583000,BINARY(628)
1722581000,1722584000,BINARY(630)
1722582000,1722585000,BINARY(617)
1722583000,1722586000,BINARY(646)
1722584000,1722587000,BINARY(650)
1722585000,1722588000,BINARY(689)
1722586000,1722589000,BINARY(700)
1722587000,1722590000,BINARY(707)
1722588000,1722591000,BINARY(682)
1722589000,1722592000,BINARY(686)
1722590000,1722593000,BINARY(654)
1722591000,1722594000,BINARY(609)
1722592000,1722595000,BINARY(607)
1722593000,1722596000,BINARY(682)
1722594000,1722597000,BINARY(739)
1722595000,1722598000,BINARY(698)
1722596000,1722599000,BINARY(683)
1722597000,1722600000,BINARY(706)
1722598000,1722601000,BINARY(750)
1722599000,1722602000,BINARY(748)
1722600000,1722603000,BINARY(730)
1722601000,1722604000,BINARY(688)
1722602000,1722605000,BINARY(661)
1722603000,1722606000,BINARY(638)
1722604000,1722607000,BINARY(678)
1722605000,1722608000,BINARY(619)
1722606000,1722609000,BINARY(627)
1722607000,1722610000,BINARY(606)
1722608000,1722611000,BINARY(697)
1722609000,1722612000,BINARY(706)
1722610000,1722613000,BINARY(712)
1722611000,1722614000,BINARY(703)
1722612000,1722615000,BINARY(678)
1722613000,1722616000,BINARY(648)
1722614000,1722617000,BINARY(640)
1722615000,1722618000,BINARY(646)
1722616000,1722619000,BINARY(651)
1722617000,1722620000,BINARY(650)
1722618000,1722621000,BINARY(662)
1722619000,1722622000,BINARY(675)
1722620000,1722623000,BINARY(654)
1722621000,1722624000,BINARY(620)
1722622000,1722625000,BINARY(620)
1722623000,1722626000,BINARY(510)
1722624000,1722627000,BINARY(317)
1722625000,1722628000,BINARY(102)
1722631000,1722634000,BINARY(144)
1722632000,1722635000,BINARY(378)
1722633000,1722636000,BINARY(562)
1722634000,1722637000,BINARY(641)
1722635000,1722638000,BINARY(613)
1722636000,1722639000,BINARY(552)
1722637000,1722640000,BINARY(550)
1722638000,1722641000,BINARY(441)
1722639000,1722642000,BINARY(318)
1722640000,1722643000,BINARY(97)
