sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$varBP:FLOAT64,sncb_stream$varFF:FLOAT64,sncb_stream$cnt:UINT64
1722540200,1722550200,5.385,5.04,2106
1722540400,1722550400,5.385,5.04,2104
1722540600,1722550600,5.066,5.04,2101
1722540800,1722550800,5.066,5.04,2104
1722541000,1722551000,5.066,5.04,2108
1722541200,1722551200,5.066,5.04,2103
1722541400,1722551400,5.066,5.04,2095
1722541600,1722551600,5.066,5.04,2101
1722541800,1722551800,5.066,5.04,2110
1722542000,1722552000,5.066,5.04,2117
1722542200,1722552200,5.066,5.04,2140
1722542400,1722552400,5.066,5.04,2143
1722542600,1722552600,5.066,5.04,2148
1722542800,1722552800,5.066,5.04,2154
1722543000,1722553000,5.066,5.04,2155
1722543200,1722553200,5.066,5.04,2169
1722543400,1722553400,5.066,5.04,2155
1722543600,1722553600,5.066,5.04,2169
1722544000,1722554000,5.066,5.036,2188
1722543800,1722553800,5.066,5.04,2187
1722544200,1722554200,5.066,5.036,2200
1722544400,1722554400,5.066,5.036,2199
1722544600,1722554600,5.066,5.036,2199
1722544800,1722554800,5.066,5.036,2208
1722545000,1722555000,5.055,5.036,2192
1722545200,1722555200,5.055,5.036,2181
1722545400,1722555400,5.04,5.036,2189
1722545600,1722555600,5.04,5.036,2187
1722545800,1722555800,5.04,5.036,2196
1722546000,1722556000,5.04,5.036,2208
1722546200,1722556200,5.036,5.036,2196
1722546400,1722556400,5.036,5.036,2218
1722546600,1722556600,5.021,5.036,2232
1722546800,1722556800,5.021,5.025,2229
1722547000,1722557000,5.021,5.025,2232
1722547200,1722557200,5.021,5.025,2242
1722547400,1722557400,5.021,5.025,2254
1722547600,1722557600,5.021,5.025,2269
1722547800,1722557800,5.021,5.025,2280
1722548000,1722558000,5.021,5.025,2286
1722548200,1722558200,5.021,5.025,2303
1722548400,1722558400,5.021,5.025,2307
1722548600,1722558600,5.021,5.025,2311
1722548800,1722558800,5.021,5.025,2317
1722549000,1722559000,5.021,5.025,2308
1722549200,1722559200,5.021,5.025,2307
1722549400,1722559400,5.021,5.006,2315
1722549600,1722559600,5.021,5.006,2319
1722549800,1722559800,5.021,5.006,2323
1722550000,1722560000,5.021,5.006,2318
1722550600,1722560600,5.021,4.995,2282
1722550400,1722560400,5.021,5.002,2294
1722550200,1722560200,5.021,5.002,2306
1722550800,1722560800,5.021,4.995,2273
1722551000,1722561000,5.021,4.995,2261
1722551600,1722561600,5.37,4.983,2237
1722551200,1722561200,5.021,4.995,2254
1722551400,1722561400,5.133,4.983,2251
1722552000,1722562000,5.37,4.983,2237
1722552200,1722562200,5.37,4.983,2214
1722551800,1722561800,5.37,4.983,2237
1722552400,1722562400,5.37,4.983,2212
1722552800,1722562800,5.37,4.976,2203
1722552600,1722562600,5.37,4.98,2217
1722553000,1722563000,5.37,4.976,2210
1722553400,1722563400,5.37,3.862,2206
1722553600,1722563600,5.37,3.862,2190
1722553200,1722563200,5.37,4.556,2209
1722553800,1722563800,5.37,3.862,2162
1722554000,1722564000,5.37,3.862,2150
1722554200,1722564200,5.37,5.036,2136
1722554600,1722564600,5.37,5.036,2129
1722554800,1722564800,5.37,5.036,2128
1722554400,1722564400,5.37,5.036,2134
1722555000,1722565000,5.37,5.036,2126
1722555200,1722565200,5.37,5.036,2139
1722555400,1722565400,5.37,5.036,2132
1722555600,1722565600,5.37,5.036,2119
1722556000,1722566000,5.37,5.036,2108
1722555800,1722565800,5.37,5.036,2120
1722556200,1722566200,5.37,5.036,2104
1722556400,1722566400,5.37,5.036,2120
1722556600,1722566600,5.37,5.036,2131
1722556800,1722566800,5.37,5.036,2138
1722557000,1722567000,5.37,5.036,2145
1722557200,1722567200,5.37,5.036,2140
1722557400,1722567400,5.37,5.036,2131
1722557600,1722567600,5.37,5.036,2112
1722557800,1722567800,5.37,5.036,2100
1722558000,1722568000,5.37,5.036,2100
1722558200,1722568200,5.37,5.036,2069
1722558400,1722568400,5.37,5.036,2051
1722558600,1722568600,5.37,5.036,2046
1722558800,1722568800,5.37,5.036,2020
1722559000,1722569000,5.37,5.036,2008
1722559200,1722569200,5.37,5.036,1997
1722559400,1722569400,5.37,5.036,1978
1722559600,1722569600,5.37,5.036,1964
1722560000,1722570000,5.37,5.036,1921
1722559800,1722569800,5.37,5.036,1940
1722560400,1722570400,5.37,5.036,1889
1722560600,1722570600,5.37,5.036,1869
1722560200,1722570200,5.37,5.036,1906
1722560800,1722570800,5.37,5.036,1852
1722561000,1722571000,5.407,5.036,1835
1722561200,1722571200,5.407,5.036,1824
1722561400,1722571400,5.407,5.036,1806
1722561600,1722571600,5.407,5.036,1801
1722562000,1722572000,5.407,5.036,1785
1722561800,1722571800,5.407,5.036,1791
1722562200,1722572200,5.407,5.036,1786
1722562400,1722572400,5.407,5.036,1787
1722562600,1722572600,5.407,5.036,1777
1722563000,1722573000,5.407,5.036,1756
1722562800,1722572800,5.407,5.036,1769
1722563200,1722573200,5.407,5.036,1742
1722563400,1722573400,5.407,5.036,1747
1722563600,1722573600,5.407,5.036,1737
1722563800,1722573800,5.407,5.036,1738
1722564000,1722574000,5.407,5.036,1747
1722564200,1722574200,5.407,5.036,1735
1722564600,1722574600,5.407,5.021,1728
1722564400,1722574400,5.407,5.021,1723
1722565200,1722575200,5.407,5.021,1684
1722565000,1722575000,5.407,5.021,1703
1722564800,1722574800,5.407,5.021,1711
1722565400,1722575400,5.407,5.021,1669
1722565600,1722575600,5.407,5.021,1671
1722565800,1722575800,5.407,5.021,1667
1722566000,1722576000,5.407,5.021,1684
1722566200,1722576200,5.407,5.021,1699
1722566400,1722576400,5.407,5.021,1687
1722566600,1722576600,5.407,5.021,1692
1722566800,1722576800,5.407,5.021,1705
1722567000,1722577000,5.407,5.021,1703
1722567200,1722577200,5.407,5.021,1717
1722567400,1722577400,5.407,5.021,1734
1722567600,1722577600,5.407,5.021,1748
1722567800,1722577800,5.407,5.01,1762
1722568000,1722578000,5.407,5.01,1776
1722568200,1722578200,5.407,5.01,1781
1722568400,1722578400,5.407,5.01,1783
1722568600,1722578600,5.407,5.01,1783
1722568800,1722578800,5.407,5.013,1788
1722569000,1722579000,5.407,5.013,1794
1722569200,1722579200,5.407,5.013,1810
1722569400,1722579400,5.407,5.013,1828
1722569600,1722579600,5.407,5.013,1828
1722569800,1722579800,5.407,5.013,1841
1722570000,1722580000,5.407,5.013,1855
1722570200,1722580200,5.407,5.013,1868
1722570400,1722580400,5.407,5.013,1892
1722570600,1722580600,5.407,5.013,1915
1722570800,1722580800,5.407,5.013,1931
1722571000,1722581000,5.388,5.013,1943
1722571200,1722581200,5.388,5.013,1956
1722571400,1722581400,5.388,5.013,1986
1722571600,1722581600,5.388,5.013,1990
1722571800,1722581800,5.388,5.013,1976
1722572000,1722582000,5.388,5.013,1968
1722572200,1722582200,5.388,5.013,1945
1722572400,1722582400,5.388,5.013,1923
1722572600,1722582600,5.388,5.013,1926
1722572800,1722582800,5.388,5.013,1928
1722573000,1722583000,5.388,5.013,1931
1722573200,1722583200,5.388,5.013,1926
1722573400,1722583400,5.388,5.013,1890
1722573800,1722583800,5.388,5.013,1879
1722573600,1722583600,5.388,5.013,1879
1722574000,1722584000,5.388,5.013,1854
1722574200,1722584200,5.388,5.013,1843
1722574400,1722584400,5.388,5.013,1832
1722574600,1722584600,5.388,5.013,1814
1722574800,1722584800,5.388,5.013,1810
1722575000,1722585000,5.388,5.013,1801
1722575200,1722585200,5.388,5.013,1795
1722575400,1722585400,5.388,5.013,1802
1722575600,1722585600,5.388,5.013,1787
1722575800,1722585800,5.388,5.013,1768
1722576000,1722586000,5.388,5.013,1752
1722576200,1722586200,5.388,5.013,1723
1722576400,1722586400,5.388,5.013,1699
1722576600,1722586600,5.388,5.013,1693
1722576800,1722586800,5.366,5.013,1678
1722577000,1722587000,5.366,5.013,1666
1722577200,1722587200,5.366,5.013,1639
1722577400,1722587400,5.366,5.013,1628
1722577600,1722587600,5.366,5.013,1616
1722577800,1722587800,5.366,5.013,1611
1722578000,1722588000,5.366,5.013,1599
1722578200,1722588200,5.366,5.013,1609
1722578400,1722588400,5.366,5.013,1630
1722578600,1722588600,5.366,5.013,1645
1722578800,1722588800,5.366,5.01,1666
1722579000,1722589000,5.366,5.013,1658
1722579200,1722589200,5.366,5.013,1652
1722579400,1722589400,5.366,5.013,1659
1722579600,1722589600,5.366,5.013,1672
1722579800,1722589800,5.366,5.013,1671
1722580000,1722590000,5.366,5.013,1672
1722580200,1722590200,5.366,5.025,1677
1722580400,1722590400,5.366,5.025,1672
1722580600,1722590600,5.366,5.036,1666
1722580800,1722590800,5.366,5.04,1672
1722581000,1722591000,5.366,5.04,1688
1722581200,1722591200,5.366,5.04,1692
1722581400,1722591400,5.366,5.04,1691
1722581600,1722591600,5.366,5.04,1712
1722581800,1722591800,5.366,5.04,1730
1722582000,1722592000,5.366,5.04,1743
1722582200,1722592200,5.366,5.04,1779
1722582400,1722592400,5.366,5.04,1793
1722582800,1722592800,5.062,5.04,1790
1722582600,1722592600,5.201,5.04,1788
1722583200,1722593200,5.062,5.04,1783
1722583000,1722593000,5.062,5.04,1787
1722583400,1722593400,5.062,5.04,1807
1722583600,1722593600,5.062,5.04,1835
1722583800,1722593800,5.062,5.04,1840
1722584000,1722594000,5.062,5.04,1858
1722584200,1722594200,5.062,5.04,1881
1722584400,1722594400,5.062,5.04,1911
1722584600,1722594600,5.062,5.04,1936
1722584800,1722594800,5.062,5.04,1959
1722585000,1722595000,5.062,5.04,1986
1722585200,1722595200,5.062,5.04,2004
1722585400,1722595400,5.062,5.04,2032
1722585600,1722595600,5.062,5.04,2066
1722585800,1722595800,5.062,5.04,2094
1722586000,1722596000,5.062,5.04,2099
1722586400,1722596400,5.062,5.04,2105
1722586600,1722596600,5.062,5.04,2103
1722586200,1722596200,5.062,5.04,2108
1722586800,1722596800,5.062,5.04,2109
1722587000,1722597000,5.062,5.04,2111
1722587200,1722597200,5.062,5.04,2111
1722587400,1722597400,5.062,5.04,2094
1722587600,1722597600,5.062,5.04,2098
1722587800,1722597800,5.062,5.04,2086
1722588000,1722598000,5.062,5.04,2081
1722588200,1722598200,5.062,5.04,2076
1722588600,1722598600,5.062,5.04,2039
1722588400,1722598400,5.062,5.04,2059
1722588800,1722598800,5.062,5.04,2018
