sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$cnt:UINT64
1723665000,1723670000,1247
1723670000,1723675000,1277
1723675000,1723680000,1167
1723680000,1723685000,1291
1723685000,1723690000,1117
1723690000,1723695000,1140
1723695000,1723700000,1147
1723700000,1723705000,1032
1723705000,1723710000,910
1723710000,1723715000,984
1723715000,1723720000,973
1723720000,1723725000,913
1723725000,1723730000,944
1723730000,1723735000,835
1723735000,1723740000,827
1723740000,1723745000,867
1723745000,1723750000,870
1723750000,1723755000,924
1723755000,1723760000,930
1723760000,1723765000,1002
1723765000,1723770000,983
1723770000,1723775000,978
1723775000,1723780000,988
1723780000,1723785000,889
1723785000,1723790000,793
1723790000,1723795000,781
1723795000,1723800000,780
1723800000,1723805000,808
1723805000,1723810000,916
1723810000,1723815000,832
1723815000,1723820000,858
1723820000,1723825000,812
1723825000,1723830000,854
1723830000,1723835000,769
1723835000,1723840000,841
1723840000,1723845000,909
1723845000,1723850000,804
1723850000,1723855000,762
1723855000,1723860000,796
1723860000,1723865000,889
1723865000,1723870000,853
1723870000,1723875000,867
1723875000,1723880000,769
1723880000,1723885000,922
1723885000,1723890000,858
1723890000,1723895000,977
1723895000,1723900000,1024
1723900000,1723905000,931
1723905000,1723910000,1011
1723910000,1723915000,922
1723915000,1723920000,872
1723920000,1723925000,1001
1723925000,1723930000,1011
1723930000,1723935000,932
1723935000,1723940000,891
1723940000,1723945000,982
1723945000,1723950000,1046
1723950000,1723955000,937
1723955000,1723960000,884
1723960000,1723965000,984
1723965000,1723970000,939
1723970000,1723975000,946
1723975000,1723980000,983
1723980000,1723985000,919
1723985000,1723990000,947
1723990000,1723995000,972
1723995000,1724000000,862
1724000000,1724005000,947
1724005000,1724010000,1021
1724010000,1724015000,1002
1724015000,1724020000,913
1724020000,1724025000,868
1724025000,1724030000,746
1724030000,1724035000,855
1724035000,1724040000,1006
1724040000,1724045000,917
1724045000,1724050000,777
1724050000,1724055000,928
1724055000,1724060000,773
1724060000,1724065000,941
1724065000,1724070000,957
1724070000,1724075000,946
1724075000,1724080000,822
1724080000,1724085000,853
1724085000,1724090000,984
1724090000,1724095000,931
1724095000,1724100000,813
1724100000,1724105000,751
1724105000,1724110000,796
1724110000,1724115000,848
1724115000,1724120000,1006
1724120000,1724125000,885
1724125000,1724130000,943
1724130000,1724135000,885
1724135000,1724140000,800
1724140000,1724145000,887
1724145000,1724150000,804
1724150000,1724155000,922
1724155000,1724160000,999
1724160000,1724165000,843
1724165000,1724170000,978
1724170000,1724175000,955
1724175000,1724180000,903
1724180000,1724185000,994
1724185000,1724190000,938
1724190000,1724195000,925
1724195000,1724200000,908
1724200000,1724205000,913
1724205000,1724210000,959
1724210000,1724215000,921
1724215000,1724220000,745
1724220000,1724225000,619
1724225000,1724230000,729
1724230000,1724235000,978
1724235000,1724240000,1214
1724240000,1724245000,1205
1724245000,1724250000,1165
1724250000,1724255000,1089
1724255000,1724260000,1082
1724260000,1724265000,1274
1724265000,1724270000,1096
1724270000,1724275000,1196
1724275000,1724280000,1260
1724280000,1724285000,1251
1724285000,1724290000,1182
1724290000,1724295000,1150
1724295000,1724300000,1276
1724300000,1724305000,1091
1724305000,1724310000,1111
1724310000,1724315000,1171
1724315000,1724320000,1185
1724320000,1724325000,1282
1724325000,1724330000,1201
1724330000,1724335000,1233
1724335000,1724340000,1173
1724340000,1724345000,1091
1724345000,1724350000,1119
1724350000,1724355000,1058
1724355000,1724360000,1033
1724360000,1724365000,1232
1724365000,1724370000,959
1724370000,1724375000,238
